ContextFrameNum	ContextFrameName	Condition	FullSentence	TargetWord
frame1	accident	Expected	Elizabeth was standing at the intersection waiting for the light to change. All of a sudden she saw a car barrel through the red light. A moment later, she heard a terrible crash	crash
frame1	accident	Event-Related	Elizabeth was standing at the intersection waiting for the light to change. All of a sudden she saw a car barrel through the red light. A moment later, she heard a terrible policeman	policeman
frame1	accident	Event-Unrelated	Elizabeth was standing at the intersection waiting for the light to change. All of a sudden she saw a car barrel through the red light. A moment later, she heard a terrible conductor	conductor
frame2	arrest	Expected	For several months, there had been burglaries in the neighborhood. Many people thought they knew who the crook was. Finally, he was caught when he set off somebody's alarm	alarm
frame2	arrest	Event-Related	For several months, there had been burglaries in the neighborhood. Many people thought they knew who the crook was. Finally, he was caught when he set off somebody's police	police
frame2	arrest	Event-Unrelated	For several months, there had been burglaries in the neighborhood. Many people thought they knew who the crook was. Finally, he was caught when he set off somebody's doctor	doctor
frame3	breakfast	Expected	I think it's important to start the day right. Every morning, I make sure to eat a hearty breakfast. Sometimes there's almost no room left on my plate	plate
frame3	breakfast	Event-Related	I think it's important to start the day right. Every morning, I make sure to eat a hearty breakfast. Sometimes there's almost no room left on my eggs	eggs
frame3	breakfast	Event-Unrelated	I think it's important to start the day right. Every morning, I make sure to eat a hearty breakfast. Sometimes there's almost no room left on my hotdogs	hotdogs
frame4	concert	Expected	The band was very popular, and Joe was sure the concert would be sold out. Amazingly, he was able to get a seat down in front. He couldn't believe how close he was when he saw the group walk out onto the stage	stage
frame4	concert	Event-Related	The band was very popular, and Joe was sure the concert would be sold out. Amazingly, he was able to get a seat down in front. He couldn't believe how close he was when he saw the group walk out onto the guitar	guitar
frame4	concert	Event-Unrelated	The band was very popular, and Joe was sure the concert would be sold out. Amazingly, he was able to get a seat down in front. He couldn't believe how close he was when he saw the group walk out onto the barn	barn
frame5	funeral	Expected	My Aunt Bettie was very popular in our family. When she died, lots of people gathered to pay their respects. Her three brothers and three sisters all gave very moving speeches	speeches
frame5	funeral	Event-Related	My Aunt Bettie was very popular in our family. When she died, lots of people gathered to pay their respects. Her three brothers and three sisters all gave very moving coffins	coffins
frame5	funeral	Event-Unrelated	My Aunt Bettie was very popular in our family. When she died, lots of people gathered to pay their respects. Her three brothers and three sisters all gave very moving drinks	drinks
frame6	travel	Expected	Traveling these days is much less fun than it used to be. Now you have to deal with worries about terrorism. It can take several hours to make it through security	security
frame6	travel	Event-Related	Traveling these days is much less fun than it used to be. Now you have to deal with worries about terrorism. It can take several hours to make it through luggage	luggage
frame6	travel	Event-Unrelated	Traveling these days is much less fun than it used to be. Now you have to deal with worries about terrorism. It can take several hours to make it through vegetables	vegetables
frame7	morning	Expected	I'm very sluggish when I wake up. Sometimes it takes me an hour to get ready in the bathroom. I often end up staring blankly at myself in the mirror	mirror
